# Constructed from biom file
#OTU ID	MengyiA	MengyiB	MengyiC	MengyiD	MengyiE	MengyiF	MengyiG	MengyiH
b8da17fe4e7aa46b58f7316205d0f675	23320.0	14413.0	36640.0	49263.0	4925.0	8932.0	12.0	7.0
5e6e33de20e86732b53546239a1cc1e9	11509.0	1854.0	10576.0	17955.0	0.0	0.0	0.0	76.0
558f634792c8b5cee619778f270e8ee0	941.0	37865.0	3478.0	0.0	0.0	1156.0	1161.0	31.0
a86030906e60b598b0df5384aa221c4e	5889.0	2650.0	8884.0	15166.0	4306.0	4297.0	31.0	0.0
0b057cbf2d24f39210922e97d98171aa	19167.0	616.0	0.0	4923.0	0.0	0.0	0.0	0.0
0ccbe1000971bf1578254d6472b3ee45	5921.0	8533.0	1672.0	1013.0	0.0	19727.0	128.0	112.0
5af407995504d7f9406ee1038b608ccc	6502.0	921.0	0.0	0.0	0.0	15439.0	52.0	0.0
742ac154a6736d2698134263519cd14a	0.0	0.0	0.0	0.0	13125.0	0.0	0.0	0.0
447696463125ebc223795ec4c14c00c9	2844.0	2568.0	0.0	5462.0	3683.0	5395.0	16.0	61.0
ddc985a28503149785e6f8eccd426ce6	0.0	0.0	3124.0	0.0	0.0	8058.0	25.0	61.0
80656d9a953b600388a8d5b3284216b9	4093.0	0.0	0.0	0.0	0.0	6316.0	0.0	0.0
c350917bd89a728730e2cb58c8732fc4	0.0	0.0	0.0	0.0	8208.0	0.0	0.0	0.0
9cf1078b9d4a52eef64f0ec6dff61e6e	4359.0	1625.0	0.0	0.0	30.0	6464.0	0.0	0.0
7b7814ef9ef2a22361826ac369efd437	0.0	0.0	4045.0	2202.0	69.0	0.0	0.0	0.0
7b7a0888d40e256e5256b516ab77239a	0.0	209.0	0.0	0.0	9454.0	6.0	0.0	0.0
d5f53f8a05cbe43b5af476775439c6dd	0.0	0.0	0.0	0.0	0.0	4475.0	0.0	0.0
3b650483d4a1fe58da3d214f3eb8ccdc	0.0	0.0	4129.0	0.0	0.0	0.0	0.0	0.0
9d14be7a4b004b4e9b5f0e38b96ec42a	0.0	1092.0	3013.0	2.0	0.0	0.0	0.0	0.0
c4a1dd2eee2d2e6fe30b310e1ea240fd	2457.0	2130.0	0.0	0.0	0.0	0.0	0.0	28.0
84d5e3a3302d4bc78919611281f87fc0	0.0	0.0	0.0	0.0	3.0	3915.0	0.0	0.0
72b850a772997b1b696d093f475ac586	0.0	0.0	3939.0	4.0	0.0	0.0	0.0	0.0
6ba8412278a6bbbe933a1ba035e2e4cd	0.0	1016.0	1473.0	1107.0	0.0	0.0	71.0	87.0
eaaa67de4db30c022d8dc22a4dd160f4	0.0	0.0	0.0	0.0	3093.0	0.0	0.0	0.0
b930655cdbda2d0f0758d5276c15600d	0.0	871.0	0.0	0.0	0.0	1759.0	18.0	0.0
741fb3c25266d6b42964577de0d16527	2352.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0
50fccb7a29eb8408ef5b46f0ad53b7d1	0.0	2213.0	0.0	0.0	0.0	0.0	66.0	29.0
4c6d764b6bc6bdd9bd1f76911706c9ea	2202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
848d4cad6ecab2d7395c6329f3e1bd0c	0.0	0.0	1850.0	0.0	27.0	0.0	0.0	0.0
09f213e9fa7eabc32b3780662d60d2f4	0.0	1566.0	0.0	0.0	0.0	0.0	0.0	0.0
dfecea4e506fef7360592197e3bf8baf	0.0	0.0	1405.0	0.0	0.0	0.0	0.0	0.0
519c91429c4d7e26a7c0db155c00cdba	0.0	0.0	0.0	1398.0	3.0	0.0	0.0	0.0
f1c57273935879d23965899d63727f74	0.0	1324.0	0.0	0.0	0.0	0.0	67.0	0.0
0011b924a4e6f30ee01068552ba3e2c5	0.0	1364.0	0.0	0.0	0.0	0.0	0.0	0.0
8cb184b2efe7e6323aebd4395deb20e5	0.0	0.0	1337.0	0.0	0.0	0.0	0.0	0.0
bb34725eaaaa633b8c635ea30f7629ca	0.0	0.0	1099.0	0.0	0.0	0.0	0.0	0.0
f6018fa5cbda518defd063f60aedd0ee	0.0	1081.0	0.0	0.0	0.0	0.0	0.0	0.0
ec3c978eec4c009f0517a8bf2584aac5	0.0	1077.0	0.0	0.0	44.0	0.0	35.0	19.0
d4f173d6cffb4234251d59ece648caf5	0.0	1006.0	705.0	0.0	24.0	0.0	41.0	0.0
776576d2746095456ee3cb7c4ba89248	1061.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0
e1a970f70c618888b8dfdfcc2f6ebdc5	0.0	0.0	0.0	1061.0	0.0	0.0	0.0	0.0
2372fcd063bd7ea8efdcb179841c1838	0.0	1057.0	0.0	0.0	0.0	0.0	0.0	0.0
4522d115e3d619134121cc333c66d929	0.0	944.0	0.0	0.0	0.0	0.0	0.0	0.0
31d9ac962ef1b75d78cc9b5262c43933	896.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0
90053d42c24815d603b695b2bd0e5a6d	0.0	0.0	0.0	874.0	0.0	0.0	25.0	0.0
892b5fdd42cd488292c17157286913f8	0.0	656.0	0.0	0.0	0.0	0.0	17.0	0.0
ac79f185e4ee6fd51e2f49641e1b5852	0.0	0.0	0.0	637.0	0.0	0.0	0.0	0.0
b86fef94ffcdabd13898a01cb63a7150	0.0	0.0	0.0	0.0	626.0	0.0	0.0	0.0
40d1588360f14f0a749102362c6817ce	616.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0d6f5bdf27433b3835be8fca6cb30fd6	0.0	519.0	0.0	0.0	0.0	0.0	0.0	0.0
e9b046b1080522dc30b00c96d6b910c6	0.0	0.0	0.0	454.0	0.0	0.0	0.0	0.0
956ff139b16b54395f50578ec9e063e5	0.0	207.0	0.0	0.0	245.0	0.0	0.0	0.0
3452da03788b9f559091386311916717	0.0	0.0	0.0	304.0	24.0	0.0	0.0	0.0
7e1b36443f48ea034a1e5f093c5ed63b	0.0	303.0	0.0	0.0	0.0	0.0	0.0	0.0
e9602ffc20a99f4b8de968588dd5e3d6	0.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0
4deb31a09411367aaf979eb16712526f	0.0	0.0	0.0	281.0	0.0	0.0	0.0	0.0
8f97989814da43f30216463b8721b1ff	0.0	0.0	0.0	279.0	0.0	0.0	0.0	0.0
7f43cb98262b33a925e08e0dc194007b	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0
dc1054a38cbcc63bc2818262e6f31d7c	0.0	0.0	0.0	0.0	0.0	234.0	0.0	0.0
